name,wmo-id,bom-id,tz,stn-name,stn-height,type,lat,lon,forecast-district-id,description,apparent_temp,delta_t,gust_kmh,wind_gust_spd,air_temperature,dew_point,pres,msl_pres,qnh_pres,rel-humidity,vis_km,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd,rainfall,rainfall_24hr,maximum_air_temperature,minimum_air_temperature,maximum_gust_spd,maximum_gust_kmh,maximum_gust_dir,cloud,cloud_oktas,cloud_base_m,cloud_type_id,weather,rain_hour,rain_ten
units,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Celsius,Celsius,km/h,knots,Celsius,Celsius,hPa,hPa,hPa,%,km,nan,deg,km/h,knots,mm,mm,Celsius,Celsius,knots,km/h,nan,nan,nan,m,nan,nan,mm,mm
LAKES ENTRANCE (EASTERN BEACH ROAD),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.5,2.3,,,15.0,10.6,,,,75.0,50.0,NNW,340.0,9.0,5.0,0.0,0.0,,,,,,Cloudy,8.0,600.0,35.0,Fine,,
LATROBE VALLEY AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.5,7.8,11.0,6.0,21.2,5.5,1016.5,1016.5,1016.6,36.0,38.0,ESE,119.0,9.0,5.0,0.0,0.0,22.5,5.1,11.0,20.0,NE,Mostly cloudy,6.0,,,,,
LAVERTON RAAF,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),16.3,6.6,20.0,11.0,20.2,7.2,1017.1,1017.1,1017.1,43.0,42.0,SE,132.0,17.0,9.0,0.0,0.0,20.7,9.7,18.0,33.0,S,Clear,0.0,,,,,
LONGERENONG,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),20.5,9.9,46.0,25.0,26.0,7.5,,,,30.0,,SSW,197.0,26.0,14.0,0.0,0.0,26.6,4.0,27.0,50.0,SSW,,,,,,,
MALLACOOTA,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),16.0,3.9,11.0,6.0,17.6,10.2,1017.5,1017.5,1017.6,62.0,,S,169.0,9.0,5.0,0.0,0.0,18.2,13.8,12.0,22.0,S,,,,,,,
MANGALORE AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.0,9.9,39.0,21.0,24.5,4.8,1013.9,1013.9,1014.2,28.0,42.0,SSE,161.0,28.0,15.0,0.0,0.0,25.7,8.2,25.0,46.0,S,Clear,0.0,,,,,
MARYBOROUGH,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),12.6,4.0,,,14.0,5.6,,,,57.0,30.0,S,180.0,2.0,1.0,0.0,0.0,,,,,,Mostly clear,1.0,600.0,31.0,Fine,,
MELBOURNE (OLYMPIC PARK),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.6,6.6,24.0,13.0,19.7,6.4,1016.8,1016.8,1017.7,42.0,36.0,SSW,197.0,17.0,9.0,0.0,0.0,20.5,9.0,15.0,28.0,SSW,,,,,,,
MELBOURNE AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),14.1,7.7,33.0,18.0,20.6,4.9,1016.7,1016.7,1017.0,35.0,53.0,S,179.0,28.0,15.0,0.0,0.2,21.5,9.3,22.0,41.0,S,Clear,0.0,,,,,
MILDURA AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),21.4,11.3,20.0,11.0,25.8,2.5,1015.2,1015.2,1015.1,22.0,21.0,S,171.0,15.0,8.0,0.0,0.0,27.5,11.4,22.0,41.0,S,Clear,0.0,,,,,
MOORABBIN AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.8,5.0,28.0,15.0,19.8,10.5,1016.9,1016.9,1017.0,55.0,21.0,SW,215.0,22.0,12.0,0.0,0.0,20.2,7.0,17.0,32.0,SSW,Clear,0.0,,,,,
MORTLAKE RACECOURSE,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),14.4,3.4,28.0,15.0,18.6,12.5,1017.4,1017.4,,67.0,,SW,219.0,26.0,14.0,0.0,0.2,21.3,4.0,17.0,32.0,SSW,,,,,,,
MOUNT BAW BAW,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),7.2,1.8,17.0,9.0,10.4,6.9,,,,79.0,,SSW,196.0,13.0,,0.0,0.0,10.6,0.5,13.0,24.0,SW,,,,,,,
MOUNT BULLER,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),8.9,3.2,17.0,9.0,12.6,6.4,,,,66.0,,SSE,167.0,15.0,8.0,0.0,0.0,13.4,1.9,18.0,33.0,S,,,,,,,
MOUNT GELLIBRAND,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.3,4.7,24.0,13.0,19.0,10.3,1016.6,1016.6,,57.0,,WSW,249.0,20.0,11.0,0.0,0.0,20.9,7.2,19.0,35.0,WSW,,,,,,,
MOUNT HOTHAM,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),7.5,2.2,15.0,8.0,10.8,6.6,,,,75.0,,SSE,162.0,13.0,7.0,0.0,0.0,12.5,0.3,15.0,28.0,NNW,,,,,,,
